host_timestamp,arduino_timestamp,ax,ay,az,gx,gy,gz,temperature
399856709851700,1356745,-9.8022,-0.0670,-0.2512,0.0208,-0.0574,-0.0293,21.98
399856721409900,1356756,-9.7986,-0.0610,-0.2560,0.0208,-0.0574,-0.0305,21.92
399856733377300,1356767,-9.7998,-0.0718,-0.2644,0.0220,-0.0611,-0.0293,21.96
399856745576300,1356779,-9.7950,-0.0694,-0.2680,0.0232,-0.0611,-0.0293,21.96
399856756219100,1356790,-9.7998,-0.0682,-0.2656,0.0220,-0.0599,-0.0293,21.96
399856767384000,1356801,-9.8082,-0.0646,-0.2548,0.0208,-0.0574,-0.0293,21.96
399856778671600,1356813,-9.8106,-0.0670,-0.2536,0.0195,-0.0562,-0.0305,21.95
399856790194900,1356824,-9.8106,-0.0718,-0.2524,0.0195,-0.0562,-0.0293,21.95
399856801155800,1356835,-9.8058,-0.0730,-0.2453,0.0208,-0.0574,-0.0293,21.99
399856812369700,1356847,-9.8070,-0.0730,-0.2465,0.0208,-0.0586,-0.0293,21.99
399856824295300,1356858,-9.8010,-0.0610,-0.2536,0.0208,-0.0586,-0.0293,21.93
399856835185000,1356870,-9.7962,-0.0646,-0.2572,0.0208,-0.0586,-0.0293,22.00
399856846688600,1356881,-9.7962,-0.0658,-0.2620,0.0195,-0.0562,-0.0293,22.00
399856857525700,1356892,-9.7986,-0.0670,-0.2608,0.0183,-0.0562,-0.0293,22.00
399856869246900,1356903,-9.8046,-0.0706,-0.2620,0.0195,-0.0574,-0.0293,22.00
399856880906100,1356915,-9.8058,-0.0694,-0.2620,0.0208,-0.0586,-0.0293,21.92
399856892044400,1356926,-9.8010,-0.0682,-0.2572,0.0220,-0.0586,-0.0293,21.92
399856903529600,1356937,-9.8046,-0.0730,-0.2560,0.0208,-0.0586,-0.0293,21.94
399856914735200,1356949,-9.8046,-0.0706,-0.2560,0.0208,-0.0599,-0.0293,21.97
399856926085500,1356960,-9.8046,-0.0718,-0.2536,0.0195,-0.0574,-0.0293,21.97
399856937197400,1356971,-9.8034,-0.0718,-0.2536,0.0183,-0.0574,-0.0305,21.94
399856949033200,1356983,-9.8022,-0.0694,-0.2632,0.0208,-0.0586,-0.0293,21.94
399856960189100,1356994,-9.8034,-0.0694,-0.2644,0.0232,-0.0586,-0.0293,21.97
399856971764500,1357005,-9.8094,-0.0670,-0.2536,0.0220,-0.0599,-0.0293,21.97
399856982640500,1357017,-9.8082,-0.0658,-0.2500,0.0208,-0.0586,-0.0293,21.94
399856994593600,1357028,-9.8046,-0.0802,-0.2584,0.0208,-0.0586,-0.0293,21.91
399857005487900,1357039,-9.7998,-0.0766,-0.2536,0.0208,-0.0586,-0.0293,21.91
399857016336500,1357051,-9.7998,-0.0706,-0.2548,0.0208,-0.0599,-0.0293,21.95
399857028617900,1357062,-9.8046,-0.0706,-0.2596,0.0220,-0.0599,-0.0293,21.95
399857040084500,1357074,-9.8058,-0.0706,-0.2596,0.0220,-0.0586,-0.0293,21.93
399857050533700,1357085,-9.8094,-0.0694,-0.2572,0.0208,-0.0574,-0.0305,21.93
399857062502800,1357096,-9.8046,-0.0682,-0.2548,0.0195,-0.0574,-0.0305,21.94
399857073589700,1357108,-9.8010,-0.0742,-0.2536,0.0195,-0.0586,-0.0293,21.95
399857084590300,1357119,-9.7998,-0.0694,-0.2524,0.0208,-0.0586,-0.0293,21.95
399857097326000,1357130,-9.7986,-0.0670,-0.2524,0.0208,-0.0574,-0.0293,21.96
399857107616200,1357142,-9.7998,-0.0682,-0.2560,0.0208,-0.0574,-0.0305,21.96
399857118772500,1357153,-9.8046,-0.0682,-0.2632,0.0195,-0.0562,-0.0293,21.93
399857131392800,1357164,-9.8058,-0.0682,-0.2692,0.0183,-0.0562,-0.0293,21.93
399857141688500,1357176,-9.8046,-0.0682,-0.2656,0.0183,-0.0574,-0.0293,21.98
399857152855100,1357187,-9.8022,-0.0742,-0.2608,0.0171,-0.0550,-0.0293,21.98
399857164655800,1357198,-9.8022,-0.0754,-0.2632,0.0171,-0.0562,-0.0293,21.98
399857175830000,1357210,-9.8046,-0.0718,-0.2560,0.0195,-0.0562,-0.0293,21.98
399857187296400,1357221,-9.8058,-0.0682,-0.2560,0.0195,-0.0550,-0.0293,21.98
399857199068000,1357232,-9.8034,-0.0634,-0.2560,0.0183,-0.0562,-0.0293,21.98
399857210051200,1357244,-9.8022,-0.0694,-0.2548,0.0195,-0.0574,-0.0281,21.98
399857220636000,1357255,-9.8034,-0.0694,-0.2596,0.0195,-0.0574,-0.0281,21.96
399857232661800,1357266,-9.8046,-0.0634,-0.2632,0.0208,-0.0586,-0.0281,21.96
399857244580400,1357278,-9.8046,-0.0670,-0.2668,0.0208,-0.0586,-0.0293,21.93
399857255554100,1357289,-9.8034,-0.0670,-0.2692,0.0208,-0.0574,-0.0293,21.95
399857266184500,1357300,-9.7950,-0.0682,-0.2680,0.0195,-0.0574,-0.0293,21.95
399857277530400,1357312,-9.7962,-0.0682,-0.2596,0.0208,-0.0586,-0.0293,21.96
399857289134600,1357323,-9.8022,-0.0670,-0.2548,0.0208,-0.0586,-0.0293,21.96
399857300169300,1357334,-9.8082,-0.0646,-0.2620,0.0195,-0.0562,-0.0293,21.92
399857311381100,1357346,-9.8094,-0.0646,-0.2692,0.0220,-0.0599,-0.0293,21.92
