host_timestamp,arduino_timestamp,ax,ay,az,gx,gy,gz,temperature
400712643771900,2212671,-0.1555,9.7711,0.4319,0.0208,-0.0586,-0.0281,22.09
400712655017400,2212682,-0.1496,9.7783,0.4415,0.0171,-0.0550,-0.0269,22.07
400712666930600,2212694,-0.1436,9.7687,0.4690,0.0220,-0.0611,-0.0281,22.07
400712678094400,2212705,-0.1412,9.7735,0.4534,0.0257,-0.0660,-0.0305,22.07
400712689231600,2212716,-0.1436,9.7771,0.4331,0.0220,-0.0635,-0.0293,22.07
400712701294300,2212728,-0.1424,9.7699,0.4391,0.0208,-0.0611,-0.0281,22.09
400712712090300,2212739,-0.1400,9.7747,0.4331,0.0195,-0.0574,-0.0293,22.09
400712722903600,2212750,-0.1472,9.7747,0.4415,0.0147,-0.0525,-0.0269,22.06
400712734615800,2212762,-0.1567,9.7675,0.4510,0.0134,-0.0525,-0.0281,22.07
400712746087400,2212773,-0.1531,9.7723,0.4546,0.0147,-0.0525,-0.0293,22.07
400712757198500,2212784,-0.1460,9.7771,0.4618,0.0183,-0.0586,-0.0293,22.05
400712768089600,2212796,-0.1507,9.7711,0.4582,0.0232,-0.0648,-0.0305,22.05
400712780081400,2212807,-0.1555,9.7735,0.4439,0.0244,-0.0635,-0.0305,22.08
400712791538000,2212818,-0.1519,9.7807,0.4451,0.0232,-0.0623,-0.0281,22.08
400712802595300,2212830,-0.1460,9.7819,0.4499,0.0208,-0.0611,-0.0293,22.08
400712813689000,2212841,-0.1460,9.7771,0.4451,0.0220,-0.0611,-0.0293,22.06
400712824970700,2212852,-0.1424,9.7795,0.4451,0.0220,-0.0623,-0.0293,22.06
400712836876000,2212864,-0.1460,9.7783,0.4403,0.0244,-0.0623,-0.0293,22.06
400712848118400,2212875,-0.1507,9.7795,0.4379,0.0244,-0.0611,-0.0281,22.06
400712859563000,2212886,-0.1507,9.7807,0.4355,0.0257,-0.0611,-0.0281,22.10
400712870268500,2212898,-0.1519,9.7795,0.4319,0.0232,-0.0599,-0.0281,22.10
400712882747000,2212909,-0.1507,9.7795,0.4319,0.0183,-0.0550,-0.0281,22.07
400712893458400,2212920,-0.1651,9.7831,0.4307,0.0122,-0.0501,-0.0269,22.06
400712903947300,2212932,-0.1555,9.7771,0.4379,0.0110,-0.0476,-0.0293,22.06
400712916021800,2212943,-0.1555,9.7795,0.4582,0.0122,-0.0489,-0.0281,22.04
400712927330800,2212954,-0.1496,9.7807,0.4654,0.0147,-0.0489,-0.0281,22.04
400712938094200,2212966,-0.1400,9.7735,0.4570,0.0195,-0.0538,-0.0281,22.09
400712949356100,2212977,-0.1328,9.7747,0.4499,0.0208,-0.0574,-0.0281,22.09
400712961007100,2212988,-0.1328,9.7771,0.4534,0.0195,-0.0562,-0.0293,22.11
400712972151500,2213000,-0.1388,9.7747,0.4582,0.0195,-0.0586,-0.0281,22.11
400712983096900,2213011,-0.1448,9.7807,0.4510,0.0195,-0.0574,-0.0293,22.04
400712994900700,2213022,-0.1496,9.7723,0.4582,0.0171,-0.0538,-0.0293,22.07
400713005733600,2213034,-0.1591,9.7723,0.4750,0.0208,-0.0574,-0.0281,22.07
400713016945500,2213045,-0.1675,9.7735,0.4726,0.0257,-0.0635,-0.0293,22.05
400713028591500,2213056,-0.1639,9.7723,0.4546,0.0281,-0.0672,-0.0305,22.05
400713040245000,2213068,-0.1591,9.7771,0.4475,0.0293,-0.0684,-0.0318,22.06
