host_timestamp,arduino_timestamp,ax,ay,az,gx,gy,gz,temperature
398616596242600,116640,-0.0179,0.0191,-9.5988,0.0208,-0.0599,-0.0318,23.91
398616607255100,116652,-0.0215,0.0179,-9.6024,0.0208,-0.0599,-0.0305,23.93
398616618549800,116663,-0.0263,0.0239,-9.6024,0.0208,-0.0599,-0.0318,23.86
398616629890700,116674,-0.0287,0.0335,-9.6012,0.0208,-0.0586,-0.0318,23.86
398616640615900,116686,-0.0275,0.0323,-9.6024,0.0220,-0.0586,-0.0330,23.93
398616653162000,116697,-0.0299,0.0251,-9.6048,0.0244,-0.0586,-0.0330,23.93
398616663591400,116708,-0.0323,0.0203,-9.6096,0.0232,-0.0586,-0.0318,23.93
398616675266500,116720,-0.0275,0.0191,-9.6024,0.0232,-0.0586,-0.0330,23.93
398616686294400,116731,-0.0215,0.0203,-9.5988,0.0244,-0.0586,-0.0330,23.95
398616697358200,116742,-0.0191,0.0203,-9.6072,0.0220,-0.0586,-0.0318,23.95
398616708594000,116754,-0.0156,0.0227,-9.6072,0.0195,-0.0599,-0.0318,23.93
398616720528100,116765,-0.0144,0.0251,-9.6096,0.0195,-0.0586,-0.0318,23.93
398616731443800,116776,-0.0203,0.0227,-9.6108,0.0195,-0.0586,-0.0318,23.93
398616742613200,116788,-0.0275,0.0299,-9.6072,0.0208,-0.0586,-0.0330,23.89
398616754435800,116799,-0.0311,0.0275,-9.6084,0.0208,-0.0586,-0.0330,23.89
398616765019700,116810,-0.0347,0.0239,-9.6108,0.0208,-0.0599,-0.0318,23.96
398616777135800,116822,-0.0383,0.0251,-9.6096,0.0208,-0.0586,-0.0318,23.96
398616788736000,116833,-0.0287,0.0239,-9.6084,0.0208,-0.0586,-0.0330,23.91
398616799960100,116844,-0.0191,0.0275,-9.6072,0.0220,-0.0599,-0.0330,23.93
398616810551700,116856,-0.0179,0.0239,-9.6084,0.0208,-0.0586,-0.0330,23.93
398616823274900,116867,-0.0179,0.0227,-9.6096,0.0208,-0.0586,-0.0318,23.90
398616833795200,116878,-0.0144,0.0275,-9.6084,0.0208,-0.0586,-0.0330,23.90
398616845085400,116890,-0.0156,0.0299,-9.6096,0.0208,-0.0586,-0.0318,23.91
398616856406100,116901,-0.0203,0.0275,-9.6096,0.0208,-0.0599,-0.0318,23.91
398616867442800,116912,-0.0215,0.0215,-9.6024,0.0208,-0.0599,-0.0330,23.86
398616879245600,116924,-0.0287,0.0227,-9.6048,0.0220,-0.0586,-0.0330,23.91
398616889808400,116935,-0.0323,0.0239,-9.6036,0.0208,-0.0586,-0.0330,23.91
398616902245500,116946,-0.0311,0.0251,-9.6012,0.0195,-0.0586,-0.0318,23.92
398616913967800,116958,-0.0275,0.0299,-9.6012,0.0195,-0.0599,-0.0318,23.92
398616923794100,116969,-0.0263,0.0299,-9.6060,0.0220,-0.0586,-0.0318,23.89
398616935785300,116980,-0.0299,0.0275,-9.6084,0.0220,-0.0586,-0.0318,23.89
398616946777800,116992,-0.0299,0.0263,-9.6060,0.0208,-0.0599,-0.0318,23.89
398616958518300,117003,-0.0263,0.0191,-9.6048,0.0208,-0.0599,-0.0318,23.95
398616969036100,117014,-0.0227,0.0167,-9.6036,0.0220,-0.0586,-0.0318,23.95
398616980830600,117026,-0.0203,0.0156,-9.5976,0.0220,-0.0586,-0.0318,23.91
398616992822100,117037,-0.0251,0.0156,-9.6024,0.0220,-0.0586,-0.0318,23.91
398617003474700,117048,-0.0263,0.0191,-9.6060,0.0220,-0.0574,-0.0318,23.93
398617015296300,117060,-0.0227,0.0227,-9.6060,0.0208,-0.0586,-0.0318,23.93
398617025654600,117071,-0.0227,0.0239,-9.6084,0.0195,-0.0586,-0.0318,23.89
398617037776200,117082,-0.0227,0.0215,-9.6096,0.0195,-0.0586,-0.0318,23.89
398617049294400,117094,-0.0239,0.0287,-9.6084,0.0220,-0.0586,-0.0330,23.91
398617060449700,117105,-0.0251,0.0227,-9.6036,0.0220,-0.0586,-0.0330,23.90
398617071657000,117116,-0.0299,0.0239,-9.6024,0.0220,-0.0586,-0.0330,23.90
398617083191700,117128,-0.0323,0.0191,-9.6096,0.0220,-0.0599,-0.0330,23.93
398617094308100,117139,-0.0239,0.0179,-9.6168,0.0220,-0.0586,-0.0330,23.93
398617105990700,117150,-0.0179,0.0167,-9.6191,0.0220,-0.0586,-0.0330,23.90
398617117262400,117162,-0.0227,0.0144,-9.6120,0.0195,-0.0599,-0.0318,23.90
398617127865600,117173,-0.0239,0.0215,-9.6072,0.0195,-0.0586,-0.0330,23.86
398617140042000,117184,-0.0263,0.0191,-9.6048,0.0208,-0.0599,-0.0330,23.89
398617150607500,117196,-0.0371,0.0239,-9.6036,0.0220,-0.0599,-0.0330,23.89
398617162811200,117207,-0.0347,0.0275,-9.6048,0.0220,-0.0586,-0.0330,23.92
398617174124400,117218,-0.0287,0.0251,-9.6060,0.0220,-0.0586,-0.0330,23.92
398617184497000,117230,-0.0215,0.0215,-9.6000,0.0208,-0.0586,-0.0330,23.89
398617196115900,117241,-0.0215,0.0191,-9.6048,0.0208,-0.0586,-0.0330,23.89
398617207621100,117252,-0.0227,0.0144,-9.6084,0.0195,-0.0599,-0.0330,23.96
398617219182600,117264,-0.0203,0.0144,-9.6048,0.0208,-0.0599,-0.0330,23.91
398617229916200,117275,-0.0275,0.0167,-9.6000,0.0220,-0.0599,-0.0330,23.91
398617241834500,117286,-0.0323,0.0179,-9.6024,0.0208,-0.0586,-0.0330,23.89
398617253277100,117298,-0.0311,0.0167,-9.6036,0.0183,-0.0586,-0.0318,23.89
398617264585900,117309,-0.0275,0.0239,-9.6072,0.0183,-0.0586,-0.0330,23.92
398617275903800,117320,-0.0263,0.0347,-9.6132,0.0183,-0.0586,-0.0318,23.92
398617287431300,117332,-0.0227,0.0323,-9.6120,0.0220,-0.0599,-0.0330,23.89
398617298979500,117343,-0.0167,0.0371,-9.6048,0.0244,-0.0586,-0.0330,23.92
398617309686900,117354,-0.0156,0.0299,-9.6012,0.0232,-0.0586,-0.0342,23.92
398617321523700,117366,-0.0227,0.0263,-9.6072,0.0232,-0.0586,-0.0342,23.89
398617332929600,117377,-0.0299,0.0156,-9.6096,0.0208,-0.0586,-0.0330,23.89
398617343556500,117388,-0.0275,0.0072,-9.6084,0.0208,-0.0586,-0.0330,23.93
398617354887300,117400,-0.0191,0.0060,-9.6072,0.0195,-0.0586,-0.0342,23.93
398617366352500,117411,-0.0203,0.0048,-9.6072,0.0208,-0.0586,-0.0330,23.88
398617377229100,117422,-0.0251,0.0167,-9.6096,0.0220,-0.0586,-0.0330,23.88
398617389004000,117434,-0.0203,0.0239,-9.6191,0.0208,-0.0586,-0.0318,23.91
398617400449300,117445,-0.0227,0.0263,-9.6168,0.0220,-0.0586,-0.0330,23.91
398617411849900,117456,-0.0263,0.0287,-9.6096,0.0208,-0.0586,-0.0330,23.91
398617422448300,117468,-0.0287,0.0311,-9.6096,0.0208,-0.0599,-0.0330,23.92
398617434422600,117479,-0.0287,0.0299,-9.6096,0.0195,-0.0586,-0.0330,23.92
398617445434800,117490,-0.0311,0.0239,-9.6096,0.0195,-0.0586,-0.0330,23.91
398617457188100,117502,-0.0251,0.0239,-9.6084,0.0195,-0.0599,-0.0330,23.91
398617468415500,117513,-0.0120,0.0156,-9.6060,0.0195,-0.0599,-0.0330,23.87
398617479781900,117524,-0.0084,0.0096,-9.6084,0.0195,-0.0599,-0.0342,23.94
398617490762600,117536,-0.0132,0.0120,-9.6048,0.0195,-0.0586,-0.0330,23.94
398617502438800,117547,-0.0239,0.0191,-9.6024,0.0195,-0.0586,-0.0318,23.96
398617513361900,117558,-0.0311,0.0203,-9.6084,0.0195,-0.0599,-0.0318,23.96
398617524599300,117570,-0.0251,0.0203,-9.6084,0.0195,-0.0599,-0.0330,23.87
398617536132300,117581,-0.0251,0.0263,-9.6072,0.0195,-0.0586,-0.0318,23.87
398617547075100,117592,-0.0347,0.0299,-9.6084,0.0195,-0.0586,-0.0342,23.92
398617558308700,117604,-0.0323,0.0311,-9.6072,0.0183,-0.0586,-0.0330,23.94
398617569782000,117615,-0.0263,0.0299,-9.6096,0.0208,-0.0586,-0.0330,23.94
398617581832000,117626,-0.0191,0.0263,-9.6060,0.0208,-0.0599,-0.0330,23.93
398617593746100,117638,-0.0167,0.0227,-9.6036,0.0208,-0.0586,-0.0330,23.93
398617604797500,117649,-0.0144,0.0167,-9.6096,0.0195,-0.0599,-0.0330,23.90
398617615862900,117660,-0.0120,0.0084,-9.6096,0.0195,-0.0599,-0.0330,23.90
