host_timestamp,x,y,z,in_range,touch,pressure,reset
361746297380600,-212.0,814.0,0,0,0,0,0
361746316550300,-212.0,814.0,0,0,0,0,0
361746333351300,-212.0,814.0,0,0,0,0,0
361746350460500,-212.0,814.0,0,0,0,0,0
361746368277900,-212.0,814.0,0,0,0,0,0
361746384928900,-212.0,814.0,0,0,0,0,0
361746402491400,-212.0,814.0,0,0,0,0,0
361746417764600,-212.0,814.0,0,0,0,0,0
361746434533500,-212.0,814.0,0,0,0,0,0
361746450296700,-212.0,814.0,0,0,0,0,0
361746468086400,-212.0,814.0,0,0,0,0,0
361746484407500,-212.0,814.0,0,0,0,0,0
361746500989700,-212.0,814.0,0,0,0,0,0
361746517213100,-212.0,814.0,0,0,0,0,0
361746533778900,-212.0,814.0,0,0,0,0,0
361746550698300,-212.0,814.0,0,0,0,0,0
361746566575700,-212.0,814.0,0,0,0,0,0
361746583760800,-212.0,814.0,0,0,0,0,0
361746599752700,-212.0,814.0,0,0,0,0,0
361746616418800,-212.0,814.0,0,0,0,0,0
361746633368200,-212.0,814.0,0,0,0,0,0
361746650631800,-212.0,814.0,0,0,0,0,0
361746666824300,-212.0,814.0,0,0,0,0,0
361746683713000,-212.0,814.0,0,0,0,0,0
361746700336900,-212.0,814.0,0,0,0,0,0
361746717894900,-212.0,814.0,0,0,0,0,0
361746733783200,-212.0,814.0,0,0,0,0,0
361746750841900,-212.0,814.0,0,0,0,0,0
361746768409100,-212.0,814.0,0,0,0,0,0
361746785410600,-212.0,814.0,0,0,0,0,0
361746800676500,-212.0,814.0,0,0,0,0,0
361746817391700,-212.0,814.0,0,0,0,0,0
361746833865000,-212.0,814.0,0,0,0,0,0
361746850153400,-212.0,814.0,0,0,0,0,0
361746866582800,-212.0,814.0,0,0,0,0,0
361746884079000,-212.0,814.0,0,0,0,0,0
361746900091900,-212.0,814.0,0,0,0,0,0
361746916710800,-212.0,814.0,0,0,0,0,0
361746934252000,-212.0,814.0,0,0,0,0,0
361746950023900,-212.0,814.0,0,0,0,0,0
361746967439100,-212.0,814.0,0,0,0,0,0
361746983568600,-212.0,814.0,0,0,0,0,0
361747000580700,-212.0,814.0,0,0,0,0,0
361747016935800,-212.0,814.0,0,0,0,0,0
361747034826300,-212.0,814.0,0,0,0,0,0
361747050794400,-212.0,814.0,0,0,0,0,0
361747067474400,-212.0,814.0,0,0,0,0,0
361747083312400,-212.0,814.0,0,0,0,0,0
361747101139800,-212.0,814.0,0,0,0,0,0
361747117458400,-212.0,814.0,0,0,0,0,0
361747134973000,-212.0,814.0,0,0,0,0,0
361747151243500,-212.0,814.0,0,0,0,0,0
361747168307700,-212.0,814.0,0,0,0,0,0
361747184784200,-212.0,814.0,0,0,0,0,0
361747201646400,-212.0,814.0,0,0,0,0,0
361747218525200,-212.0,814.0,0,0,0,0,0
361747233881400,-212.0,814.0,0,0,0,0,0
361747249952700,-212.0,814.0,0,0,0,0,0
361747266649500,-212.0,814.0,0,0,0,0,0
361747283483100,-212.0,814.0,0,0,0,0,0
361747299840500,-212.0,814.0,0,0,0,0,0
361747317222700,-212.0,814.0,0,0,0,0,0
361747333399300,-212.0,814.0,0,0,0,0,0
361747350511600,-212.0,814.0,0,0,0,0,0
361747366772000,-212.0,814.0,0,0,0,0,0
361747384951500,-212.0,814.0,0,0,0,0,0
361747400536800,-212.0,814.0,0,0,0,0,0
361747417816500,-212.0,814.0,0,0,0,0,0
361747433433600,-212.0,814.0,0,0,0,0,0
361747451172800,-212.0,814.0,0,0,0,0,0
361747467112700,-212.0,814.0,0,0,0,0,0
361747483558100,-212.0,814.0,0,0,0,0,0
361747500525200,-212.0,814.0,0,0,0,0,0
361747517690600,-212.0,814.0,0,0,0,0,0
361747534443600,-212.0,814.0,0,0,0,0,0
361747551092100,-212.0,814.0,0,0,0,0,0
361747567194900,-212.0,814.0,0,0,0,0,0
361747583636900,-212.0,814.0,0,0,0,0,0
361747600315000,-212.0,814.0,0,0,0,0,0
361747616874900,-212.0,814.0,0,0,0,0,0
361747634047600,-212.0,814.0,0,0,0,0,0
361747650170900,-212.0,814.0,0,0,0,0,0
361747667008700,-212.0,814.0,0,0,0,0,0
361747683333900,-212.0,814.0,0,0,0,0,0
361747700705600,-212.0,814.0,0,0,0,0,0
361747717087400,-212.0,814.0,0,0,0,0,0
361747733529200,-212.0,814.0,0,0,0,0,0
361747749448000,-212.0,814.0,0,0,0,0,0
361747766581700,-212.0,814.0,0,0,0,0,0
361747783614600,-212.0,814.0,0,0,0,0,0
361747802327200,-212.0,814.0,0,0,0,0,0
361747818458400,-212.0,814.0,0,0,0,0,0
361747836169600,-212.0,814.0,0,0,0,0,0
361747852431700,-212.0,814.0,0,0,0,0,0
361747866577000,-212.0,814.0,0,0,0,0,0
361747884652700,-212.0,814.0,0,0,0,0,0
361747902197500,-212.0,814.0,0,0,0,0,0
361747917064300,-212.0,814.0,0,0,0,0,0
361747933496000,-212.0,814.0,0,0,0,0,0
361747937088800,-212.0,814.0,0,0,0,0,0
361747951874900,-212.0,814.0,0,0,0,0,0
361747967381700,-212.0,814.0,0,0,0,0,0
361747977484300,-212.0,814.0,0,0,0,0,0
361747987487400,-212.0,814.0,0,0,0,0,0
361748002203900,-212.0,814.0,0,0,0,0,0
361748018240700,-212.0,814.0,0,0,0,0,0
361748035100200,-212.0,814.0,0,0,0,0,0
361748052816400,-212.0,814.0,0,0,0,0,0
361748068418100,-212.0,814.0,0,0,0,0,0
361748083514000,-212.0,814.0,0,0,0,0,0
361748088874200,-212.0,814.0,0,0,0,0,0
361748099548000,-212.0,814.0,0,0,0,0,0
361748109548600,-212.0,814.0,0,0,0,0,0
361748119549900,-212.0,814.0,0,0,0,0,0
361748134805900,-212.0,814.0,0,0,0,0,0
361748144806700,-212.0,814.0,0,0,0,0,0
361748154810900,-212.0,814.0,0,0,0,0,0
361748168008700,-212.0,814.0,0,0,0,0,0
361748178060200,-212.0,814.0,0,0,0,0,0
361748188064300,-212.0,814.0,0,0,0,0,0
361748201086900,-212.0,814.0,0,0,0,0,0
361748211988600,-212.0,814.0,0,0,0,0,0
361748221977200,-212.0,814.0,0,0,0,0,0
361748235306700,-212.0,814.0,0,0,0,0,0
361748245311500,-212.0,814.0,0,0,0,0,0
361748255316300,-212.0,814.0,0,0,0,0,0
361748267517800,-212.0,814.0,0,0,0,0,0
361748278470500,-212.0,814.0,0,0,0,0,0
361748288468700,-212.0,814.0,0,0,0,0,0
361748302235800,-212.0,814.0,0,0,0,0,0
361748312517300,-212.0,814.0,0,0,0,0,0
361748322528600,-212.0,814.0,0,0,0,0,0
361748334717800,-212.0,814.0,0,0,0,0,0
361748344728100,-212.0,814.0,0,0,0,0,0
361748354724100,-212.0,814.0,0,0,0,0,0
361748368020100,-212.0,814.0,0,0,0,0,0
361748378028400,-212.0,814.0,0,0,0,0,0
361748388035400,-212.0,814.0,0,0,0,0,0
361748401050400,-212.0,814.0,0,0,0,0,0
361748411051900,-212.0,814.0,0,0,0,0,0
361748421057700,-212.0,814.0,0,0,0,0,0
361748434034800,-212.0,814.0,0,0,0,0,0
361748444161400,-212.0,814.0,0,0,0,0,0
361748454157200,-212.0,814.0,0,0,0,0,0
361748467662200,-212.0,814.0,0,0,0,0,0
361748478105900,-212.0,814.0,0,0,0,0,0
361748488151500,-212.0,814.0,0,0,0,0,0
361748500501900,-212.0,814.0,0,0,0,0,0
361748510511200,-212.0,814.0,0,0,0,0,0
361748520516600,-212.0,814.0,0,0,0,0,0
361748533989200,-212.0,814.0,0,0,0,0,0
361748543993800,-212.0,814.0,0,0,0,0,0
361748553994000,-212.0,814.0,0,0,0,0,0
361748566983700,-212.0,814.0,0,0,0,0,0
361748574092300,-212.0,814.0,0,0,0,0,0
361748585883200,-212.0,814.0,0,0,0,0,0
361748595887200,-212.0,814.0,0,0,0,0,0
361748605892600,-212.0,814.0,0,0,0,0,0
361748617456400,-212.0,814.0,0,0,0,0,0
361748627462200,-212.0,814.0,0,0,0,0,0
361748637464900,-212.0,814.0,0,0,0,0,0
361748647472300,-212.0,814.0,0,0,0,0,0
361748657478800,-212.0,814.0,0,0,0,0,0
361748667610100,-212.0,814.0,0,0,0,0,0
361748677615300,-212.0,814.0,0,0,0,0,0
361748687619900,-212.0,814.0,0,0,0,0,0
361748698185800,-212.0,814.0,0,0,0,0,0
361748708187800,-212.0,814.0,0,0,0,0,0
361748718731600,-212.0,814.0,0,0,0,0,0
361748728734400,-212.0,814.0,0,0,0,0,0
361748738742900,-212.0,814.0,0,0,0,0,0
361748766393400,-212.0,814.0,0,0,0,0,0
361748768418600,-212.0,814.0,0,0,0,0,0
361748786477400,-212.0,814.0,0,0,0,0,0
361748802912000,-212.0,814.0,0,0,0,0,0
361748818868900,-212.0,814.0,0,0,0,0,0
361748836706700,-212.0,814.0,0,0,0,0,0
361748852073700,-212.0,814.0,0,0,0,0,0
361748868153100,-212.0,814.0,0,0,0,0,0
361748885598400,-212.0,814.0,0,0,0,0,0
361748901485500,-212.0,814.0,0,0,0,0,0
361748918464100,-212.0,814.0,0,0,0,0,0
361748934745300,-212.0,814.0,0,0,0,0,0
361748953194900,-212.0,814.0,0,0,0,0,0
361748969919600,-212.0,814.0,0,0,0,0,0
361748984469000,-212.0,814.0,0,0,0,0,0
361749001708100,-212.0,814.0,0,0,0,0,0
