host_timestamp,x,y,z,in_range,touch,pressure,reset
19647224136800,-67.0,669.0,0,0,0,0,0
19647234731900,-67.0,669.0,0,0,0,0,0
19647244733600,-67.0,669.0,0,0,0,0,0
19647255038700,-67.0,669.0,0,0,0,0,0
19647270560700,-67.0,669.0,0,0,0,0,0
19647280719200,-67.0,669.0,0,0,0,0,0
19647290719000,-67.0,669.0,0,0,0,0,0
19647305421100,-67.0,669.0,0,0,0,0,0
19647323436500,-67.0,669.0,0,0,0,0,0
19647340403300,-67.0,669.0,0,0,0,0,0
19647356900900,-67.0,669.0,0,0,0,0,0
19647373706800,-67.0,669.0,0,0,0,0,0
19647390909600,-67.0,669.0,0,0,0,0,0
19647407133300,-67.0,669.0,0,0,0,0,0
19647422944900,-67.0,669.0,0,0,0,0,0
19647439713200,-67.0,669.0,0,0,0,0,0
19647456014200,-67.0,669.0,0,0,0,0,0
19647472757000,-67.0,669.0,0,0,0,0,0
19647487870800,-67.0,669.0,0,0,0,0,0
19647497875500,-67.0,669.0,0,0,0,0,0
19647507881700,-67.0,669.0,0,0,0,0,0
19647521438800,-67.0,669.0,0,0,0,0,0
19647531453700,-67.0,669.0,0,0,0,0,0
19647542326000,-67.0,669.0,0,0,0,0,0
19647554188500,-67.0,669.0,0,0,0,0,0
19647564206700,-67.0,669.0,0,0,0,0,0
19647574207500,-67.0,669.0,0,0,0,0,0
19647589341700,-67.0,669.0,0,0,0,0,0
19647600063600,-67.0,669.0,0,0,0,0,0
19647610228000,-67.0,669.0,0,0,0,0,0
19647620232600,-67.0,669.0,0,0,0,0,0
19647630974400,-67.0,669.0,0,0,0,0,0
19647641632300,-67.0,669.0,0,0,0,0,0
19647652027200,-67.0,669.0,0,0,0,0,0
19647662057400,-67.0,669.0,0,0,0,0,0
19647672081500,-67.0,669.0,0,0,0,0,0
19647682083500,-67.0,669.0,0,0,0,0,0
19647703467500,-67.0,669.0,0,0,0,0,0
19647721071200,-67.0,669.0,0,0,0,0,0
19647736900100,-67.0,669.0,0,0,0,0,0
19647754036700,-67.0,669.0,0,0,0,0,0
19647771373200,-67.0,669.0,0,0,0,0,0
19647788156600,-67.0,669.0,0,0,0,0,0
19647804951900,-67.0,669.0,0,0,0,0,0
19647821257700,-67.0,669.0,0,0,0,0,0
19647837958000,-67.0,669.0,0,0,0,0,0
19647855105800,-67.0,669.0,0,0,0,0,0
19647871395200,-67.0,669.0,0,0,0,0,0
19647886887100,-67.0,669.0,0,0,0,0,0
19647903374700,-67.0,669.0,0,0,0,0,0
19647920758300,-67.0,669.0,0,0,0,0,0
19647937494800,-67.0,669.0,0,0,0,0,0
19647954452100,-67.0,669.0,0,0,0,0,0
19647971556400,-67.0,669.0,0,0,0,0,0
19647987177800,-67.0,669.0,0,0,0,0,0
19648003615200,-67.0,669.0,0,0,0,0,0
19648020598300,-67.0,669.0,0,0,0,0,0
19648037141600,-67.0,669.0,0,0,0,0,0
19648054673200,-67.0,669.0,0,0,0,0,0
19648072274000,-67.0,669.0,0,0,0,0,0
19648087758500,-67.0,669.0,0,0,0,0,0
19648104244000,-67.0,669.0,0,0,0,0,0
19648121839500,-67.0,669.0,0,0,0,0,0
19648137177400,-67.0,669.0,0,0,0,0,0
19648154498600,-67.0,669.0,0,0,0,0,0
19648171082500,-67.0,669.0,0,0,0,0,0
19648188069300,-67.0,669.0,0,0,0,0,0
19648204328900,-67.0,669.0,0,0,0,0,0
19648221028100,-67.0,669.0,0,0,0,0,0
19648237351300,-67.0,669.0,0,0,0,0,0
19648254115900,-67.0,669.0,0,0,0,0,0
19648270179400,-67.0,669.0,0,0,0,0,0
19648286662100,-67.0,669.0,0,0,0,0,0
19648303428400,-67.0,669.0,0,0,0,0,0
19648319766200,-67.0,669.0,0,0,0,0,0
19648336824700,-67.0,669.0,0,0,0,0,0
19648354232900,-67.0,669.0,0,0,0,0,0
19648369909000,-67.0,669.0,0,0,0,0,0
19648387034600,-67.0,669.0,0,0,0,0,0
19648403698500,-67.0,669.0,0,0,0,0,0
19648420797700,-67.0,669.0,0,0,0,0,0
19648436844000,-67.0,669.0,0,0,0,0,0
19648454541700,-67.0,669.0,0,0,0,0,0
19648471205200,-67.0,669.0,0,0,0,0,0
19648486656300,-67.0,669.0,0,0,0,0,0
19648504009000,-67.0,669.0,0,0,0,0,0
19648520338400,-67.0,669.0,0,0,0,0,0
19648536902500,-67.0,669.0,0,0,0,0,0
19648553983600,-67.0,669.0,0,0,0,0,0
19648570280700,-67.0,669.0,0,0,0,0,0
19648586826300,-67.0,669.0,0,0,0,0,0
19648603456400,-67.0,669.0,0,0,0,0,0
19648620557400,-67.0,669.0,0,0,0,0,0
19648636691300,-67.0,669.0,0,0,0,0,0
19648654118900,-67.0,669.0,0,0,0,0,0
19648669935200,-67.0,669.0,0,0,0,0,0
19648687671800,-67.0,669.0,0,0,0,0,0
19648703536200,-67.0,669.0,0,0,0,0,0
19648720353600,-67.0,669.0,0,0,0,0,0
